"LOC","File"
"78","tajo-client/src/main/java/org/apache/tajo/jdbc/TajoMetaDataResultSet.java"
"1338","tajo-client/src/main/java/org/apache/tajo/jdbc/TajoResultSetBase.java"
"169","tajo-client/src/main/java/org/apache/tajo/jdbc/TajoResultSetMetaData.java"
"43","tajo-client/src/main/java/org/apache/tajo/jdbc/TajoSQLException.java"
"72","tajo-client/src/main/java/org/apache/tajo/jdbc/WaitingResultSet.java"
"321","tajo-client/src/main/java/org/apache/tajo/storage/RowStoreUtil.java"
"36","tajo-common/src/main/java/org/apache/tajo/Assert.java"
"37","tajo-common/src/main/java/org/apache/tajo/BuiltinStorages.java"
"58","tajo-common/src/main/java/org/apache/tajo/ConfigKey.java"
"89","tajo-common/src/main/java/org/apache/tajo/ExecutionBlockId.java"
"272","tajo-common/src/main/java/org/apache/tajo/OverridableConf.java"
"95","tajo-common/src/main/java/org/apache/tajo/QueryId.java"
"106","tajo-common/src/main/java/org/apache/tajo/QueryIdFactory.java"
"60","tajo-common/src/main/java/org/apache/tajo/QueryVars.java"
"284","tajo-common/src/main/java/org/apache/tajo/SessionVars.java"
"50","tajo-common/src/main/java/org/apache/tajo/TajoConstants.java"
"96","tajo-common/src/main/java/org/apache/tajo/TaskAttemptId.java"
"92","tajo-common/src/main/java/org/apache/tajo/TaskId.java"
"25","tajo-common/src/main/java/org/apache/tajo/annotation/NotNull.java"
"30","tajo-common/src/main/java/org/apache/tajo/annotation/NotThreadSafe.java"
"28","tajo-common/src/main/java/org/apache/tajo/annotation/Nullable.java"
"30","tajo-common/src/main/java/org/apache/tajo/annotation/ThreadSafe.java"
"80","tajo-common/src/main/java/org/apache/tajo/auth/UserRoleInfo.java"
"25","tajo-common/src/main/java/org/apache/tajo/common/ProtoObject.java"
"42","tajo-common/src/main/java/org/apache/tajo/common/Sleeper.java"
"181","tajo-common/src/main/java/org/apache/tajo/common/type/IPv4.java"
"199","tajo-common/src/main/java/org/apache/tajo/common/type/TajoTypeUtil.java"
"80","tajo-common/src/main/java/org/apache/tajo/common/type/TimeRange.java"
"906","tajo-common/src/main/java/org/apache/tajo/conf/TajoConf.java"
"81","tajo-common/src/main/java/org/apache/tajo/datum/AnyDatum.java"
"135","tajo-common/src/main/java/org/apache/tajo/datum/BitDatum.java"
"164","tajo-common/src/main/java/org/apache/tajo/datum/BlobDatum.java"
"177","tajo-common/src/main/java/org/apache/tajo/datum/BooleanDatum.java"
"161","tajo-common/src/main/java/org/apache/tajo/datum/CharDatum.java"
"245","tajo-common/src/main/java/org/apache/tajo/datum/DateDatum.java"
"290","tajo-common/src/main/java/org/apache/tajo/datum/Datum.java"
"432","tajo-common/src/main/java/org/apache/tajo/datum/DatumFactory.java"
"360","tajo-common/src/main/java/org/apache/tajo/datum/Float4Datum.java"
"347","tajo-common/src/main/java/org/apache/tajo/datum/Float8Datum.java"
"349","tajo-common/src/main/java/org/apache/tajo/datum/Int2Datum.java"
"353","tajo-common/src/main/java/org/apache/tajo/datum/Int4Datum.java"
"364","tajo-common/src/main/java/org/apache/tajo/datum/Int8Datum.java"
"435","tajo-common/src/main/java/org/apache/tajo/datum/IntervalDatum.java"
"190","tajo-common/src/main/java/org/apache/tajo/datum/NullDatum.java"
"39","tajo-common/src/main/java/org/apache/tajo/datum/NumericDatum.java"
"75","tajo-common/src/main/java/org/apache/tajo/datum/ProtobufDatum.java"
"109","tajo-common/src/main/java/org/apache/tajo/datum/ProtobufDatumFactory.java"
"163","tajo-common/src/main/java/org/apache/tajo/datum/TextDatum.java"
"190","tajo-common/src/main/java/org/apache/tajo/datum/TimeDatum.java"
"255","tajo-common/src/main/java/org/apache/tajo/datum/TimestampDatum.java"
"80","tajo-common/src/main/java/org/apache/tajo/datum/protobuf/AbstractCharBasedFormatter.java"
"168","tajo-common/src/main/java/org/apache/tajo/datum/protobuf/ProtobufFormatter.java"
"1463","tajo-common/src/main/java/org/apache/tajo/datum/protobuf/ProtobufJsonFormat.java"
"461","tajo-common/src/main/java/org/apache/tajo/datum/protobuf/TextUtils.java"
"35","tajo-common/src/main/java/org/apache/tajo/exception/AmbiguousColumnException.java"
"33","tajo-common/src/main/java/org/apache/tajo/exception/AmbiguousFunctionException.java"
"35","tajo-common/src/main/java/org/apache/tajo/exception/AmbiguousPartitionDirectoryExistException.java"
"33","tajo-common/src/main/java/org/apache/tajo/exception/AmbiguousTableException.java"
"33","tajo-common/src/main/java/org/apache/tajo/exception/CannotDropCurrentDatabaseException.java"
"33","tajo-common/src/main/java/org/apache/tajo/exception/CatalogUpgradeRequiredException.java"
